Job Title,Company Name,Location,Start Date,CTC (Annual),Experience,Apply By,Skills Required,Perks
Accounts Executive,Longstays,Noida,Starts Immediately,"₹ 3,00,000 - 4,50,000                                

                        ₹ 3,00,000 - 4,50,000 /year",1 year(s),1 year(s) experience,"GST, QuickBooks, Zoho Books","GST, QuickBooks, Zoho Books"
ITI Fitter,MLTI PRIVATE LIMITED,"Vapi, Umbergaon, Maharashtra, Gujarat",Starts Immediately,"₹ 2,00,000 - 2,40,000                                

                        ₹ 2,00,000 - 2,40,000 /year",0 year(s),0 year(s) experience,"Operations, 5 days a week, Health Insurance",Operations
Accountant,Vishkar Constructions,Chennai,Starts Immediately,"₹ 2,00,000                                

                        ₹ 2,00,000 /year",0 year(s),0 year(s) experience,"Accounting, MS-Excel, MS-Office, Tally","Accounting, MS-Excel, MS-Office, Tally"
Junior Search Engine Optimization (SEO) Specialist,Relinns Technologies,"Chandigarh, Mohali, Uttar Pradesh, Uttarakhand, Himachal Pradesh",Starts Immediately,"₹ 3,00,000 - 6,00,000                                

                        ₹ 3,00,000 - 6,00,000 /year",1 year(s),1 year(s) experience,"Digital Marketing, English Proficiency (Written), Google AdWords, Google Analytics, Search Engine Marketing (SEM), Search Engine Optimization (SEO), Social Media Marketing, Informal dress code","Digital Marketing, English Proficiency (Written), Google AdWords, Google Analytics, Search Engine Marketing (SEM), Search Engine Optimization (SEO), Social Media Marketing"
Career Counsellor,KAE Education,Work from home,Starts Immediately,"₹ 3,60,000 - 6,90,000                                

                        ₹ 3,60,000 - 6,90,000 /year",1 year(s),1 year(s) experience,"Artificial intelligence, Data Science, Effective Communication, Human Resources","Artificial intelligence, Data Science, Effective Communication, Human Resources"
Recruiter,Infinitam Experts Integrated Solutions Private Limited,Noida,Starts Immediately,"₹ 3,00,000 - 5,00,000                                

                        ₹ 3,00,000 - 5,00,000 /year",1 year(s),1 year(s) experience,"English Proficiency (Spoken), English Proficiency (Written), MS-Excel, MS-Office","English Proficiency (Spoken), English Proficiency (Written), MS-Excel, MS-Office"
Associate Recruiter,Prashant Daebak,Work from home,Starts Immediately,"₹ 4,00,000 - 6,00,000                                

                        ₹ 4,00,000 - 6,00,000 /year",1 year(s),1 year(s) experience,"English Proficiency (Spoken), 5 days a week",English Proficiency (Spoken)
Field Sales Executive,Urban Company,Work from home,Starts Immediately,"₹ 3,00,000 - 3,40,000                                

                        ₹ 3,00,000 - 3,40,000 /year",0 year(s),0 year(s) experience,"Effective Communication, Field Work, Hindi Proficiency (Spoken), Marathi Proficiency(Spoken), Health Insurance","Effective Communication, Field Work, Hindi Proficiency (Spoken), Marathi Proficiency(Spoken)"
Flutter Developer,Maven Group Global,Hyderabad,Starts Immediately,"₹ 2,50,000 - 3,00,000                                

                        ₹ 2,50,000 - 3,00,000 /year",0 year(s),0 year(s) experience,"Android, Dart, Flutter, iOS, Health Insurance","Android, Dart, Flutter, iOS"
Business Development Executive – Sales,GROWAIEDTECH SOLUTIONS (OPC) PRIVATE LIMITED,"Coimbatore, Erode, Gobichettipalayam, Perundurai                                            (Hybrid)",Starts Immediately,"₹ 2,00,000 - 2,10,000                                

                        ₹ 2,00,000 - 2,10,000 /year",1 year(s),1 year(s) experience,"Client Relationship Management (CRM), Effective Communication, Sales, Sales Strategy","Client Relationship Management (CRM), Effective Communication, Sales, Sales Strategy"
Telecaller,VERIXINTELLI SYSTEMS PVT LTD,Work from home,Starts Immediately,"₹ 2,00,000 - 2,10,000                                

                        ₹ 2,00,000 - 2,10,000 /year",0 year(s),0 year(s) experience,"English Proficiency (Spoken), Tamil Proficiency (Spoken)","English Proficiency (Spoken), Tamil Proficiency (Spoken)"
Senior Video Editor,Crescompany,Kharar,Starts Immediately,"₹ 2,40,000 - 4,20,000                                

                        ₹ 2,40,000 - 4,20,000 /year",1 year(s),1 year(s) experience,"Video Editing, Video Making, Informal dress code, 5 days a week","Video Editing, Video Making"
Associate Accountant,Solidaridad,Delhi,Starts Immediately,"₹ 2,20,500 - 2,65,000                                

                        ₹ 2,20,500 - 2,65,000 /year",1 year(s),1 year(s) experience,"Accounting, English Proficiency (Spoken), MS-Excel, Tally, 5 days a week","Accounting, English Proficiency (Spoken), MS-Excel, Tally"
Business Growth Executive,TAB Group,"Faridabad, Delhi, Ghaziabad, Gurgaon, Jaipur, Noida, Haryana",Starts Immediately,"₹ 3,64,000 - 13,00,000                                

                        ₹ 3,64,000 - 13,00,000 /year",0 year(s),0 year(s) experience,"Business Development, Effective Communication, Lead Generation, Negotiation, Problem Solving, 5 days a week","Business Development, Effective Communication, Lead Generation, Negotiation, Problem Solving"
Business Development Executive,WeMakeScholars,"Kolkata, Hyderabad, Raipur, Nagpur, Odisha, Begumpet, Rajasthan, Maharashtra, Telangana, Andhra Pradesh, Tamil Nadu, Karnataka",Starts Immediately,"₹ 4,30,000 - 4,54,000                                

                        ₹ 4,30,000 - 4,54,000 /year",0 year(s),0 year(s) experience,"Effective Communication, English Proficiency (Spoken), Time Management, Informal dress code, Free snacks & beverages","Effective Communication, English Proficiency (Spoken), Time Management"
Social Media Marketing Manager,Astro Devam Private Limited,Noida,Starts Immediately,"₹ 2,05,000 - 2,20,000                                

                        ₹ 2,05,000 - 2,20,000 /year",0 year(s),0 year(s) experience,"Canva, Creative Writing, Digital Marketing, Email Marketing, English Proficiency (Spoken), English Proficiency (Written), Facebook Marketing, Instagram Marketing, Search Engine Marketing (SEM), Search Engine Optimization (SEO), Social Media Marketing, Video Editing","Canva, Creative Writing, Digital Marketing, Email Marketing, English Proficiency (Spoken), English Proficiency (Written), Facebook Marketing, Instagram Marketing, Search Engine Marketing (SEM), Search Engine Optimization (SEO), Social Media Marketing, Video Editing"
Business Development Executive,VelvetBai,Hyderabad,Starts Immediately,"₹ 2,05,000 - 17,50,000                                

                        ₹ 2,05,000 - 17,50,000 /year",0 year(s),0 year(s) experience,"Effective Communication, Interpersonal skills, Marketing, Sales, Informal dress code, 5 days a week","Effective Communication, Interpersonal skills, Marketing, Sales"
Associate Software Developer,RedSprite Technologies,Pune,Starts Immediately,"₹ 2,10,000 - 3,50,000                                

                        ₹ 2,10,000 - 3,50,000 /year",0 year(s),0 year(s) experience,"HTML 5, Python, Informal dress code, 5 days a week, Free snacks & beverages","HTML 5, Python"
Digital Marketing Associate,DeltaX,Pune,Starts Immediately,"₹ 3,00,000 - 3,16,000                                

                        ₹ 3,00,000 - 3,16,000 /year",0 year(s),0 year(s) experience,"Analytical Thinking, Attention to Detail, English Proficiency (Spoken), English Proficiency (Written), Informal dress code, 5 days a week, Free snacks & beverages, Health Insurance","Analytical Thinking, Attention to Detail, English Proficiency (Spoken), English Proficiency (Written)"
Junior Video Editor,The Diamond Talk,Mumbai                                            (Hybrid),Starts Immediately,"₹ 2,00,000 - 2,50,000                                

                        ₹ 2,00,000 - 2,50,000 /year",1 year(s),1 year(s) experience,"Adobe Premiere Pro, Final Cut Pro, Video Editing, Video Making, Free snacks & beverages","Adobe Premiere Pro, Final Cut Pro, Video Editing, Video Making"
Junior Search Engine Optimization (SEO) Manager,Slixx Digital,Work from home,Starts Immediately,"₹ 2,00,000 - 2,40,000                                

                        ₹ 2,00,000 - 2,40,000 /year",1 year(s),1 year(s) experience,"Digital Marketing, English Proficiency (Written), Search Engine Optimization (SEO), Social Media Marketing","Digital Marketing, English Proficiency (Written), Search Engine Optimization (SEO), Social Media Marketing"
Business Development Executive,"Lyfe Index (London, United Kingdom)",Work from home,Starts Immediately,"₹ 5,00,000 - 10,00,000                                

                        ₹ 5,00,000 - 10,00,000 /year",1 year(s),1 year(s) experience,"Business Development, Interpersonal skills, Networking, Sales, Sales Management, Sales Strategy, Strategy","Business Development, Interpersonal skills, Networking, Sales, Sales Management, Sales Strategy, Strategy"
Digital Marketing Executive,Visible Gain,Noida,Starts Immediately,"₹ 2,40,000 - 3,50,000                                

                        ₹ 2,40,000 - 3,50,000 /year",1 year(s),1 year(s) experience,"Creative Writing, Digital Marketing, English Proficiency (Spoken), English Proficiency (Written), Facebook Marketing, Instagram Marketing, Search Engine Marketing (SEM), Search Engine Optimization (SEO), Social Media Marketing","Creative Writing, Digital Marketing, English Proficiency (Spoken), English Proficiency (Written), Facebook Marketing, Instagram Marketing, Search Engine Marketing (SEM), Search Engine Optimization (SEO), Social Media Marketing"
Business Development Executive,Rydeu Logistics UG,Work from home,Starts Immediately,"₹ 2,00,000 - 2,10,000                                

                        ₹ 2,00,000 - 2,10,000 /year",1 year(s),1 year(s) experience,English Proficiency (Spoken),English Proficiency (Spoken)
Business Development Executive,SFT Nextgenerace Consulting Pvt Ltd,Work from home,Starts Immediately,"₹ 2,17,000 - 3,12,000                                

                        ₹ 2,17,000 - 3,12,000 /year",1 year(s),1 year(s) experience,"English Proficiency (Spoken), 5 days a week",English Proficiency (Spoken)
Web Developer,Nisau Global Private Limited,"Meerut, Noida                                            (Hybrid)",Starts Immediately,"₹ 2,00,000 - 2,40,000                                

                        ₹ 2,00,000 - 2,40,000 /year",1 year(s),1 year(s) experience,"Bootstrap, CSS, HTML, JavaScript, jQuery, MySQL, Node.js, PHP, React, WordPress","Bootstrap, CSS, HTML, JavaScript, jQuery, MySQL, Node.js, PHP, React, WordPress"
Event Management Executive,Kairos Konnect Inc,Gurgaon,Starts Immediately,"₹ 3,00,000 - 4,00,000                                

                        ₹ 3,00,000 - 4,00,000 /year",0 year(s),0 year(s) experience,"English Proficiency (Spoken), Event Management, MS-Office, 5 days a week","English Proficiency (Spoken), Event Management, MS-Office"
Business Development Executive,Counsel Union,"Faridabad, Delhi, Ghaziabad, Gurgaon, Greater Noida, Noida",Starts Immediately,"₹ 3,00,000 - 4,00,000                                

                        ₹ 3,00,000 - 4,00,000 /year",0 year(s),0 year(s) experience,"Customer Support, Sales, Sales Strategy","Customer Support, Sales, Sales Strategy"
Business Development Executive,Spanda 3D,Noida,Starts Immediately,"₹ 2,20,000 - 6,60,000                                

                        ₹ 2,20,000 - 6,60,000 /year",1 year(s),1 year(s) experience,"3D Printing, Cold Calling, Email Marketing, English Proficiency (Spoken), Lead Generation, Informal dress code, 5 days a week, Free snacks & beverages","3D Printing, Cold Calling, Email Marketing, English Proficiency (Spoken), Lead Generation"
Paid Media Executive,Tikii Marketing Services,Kolkata,Starts Immediately,"₹ 2,00,000 - 2,50,000                                

                        ₹ 2,00,000 - 2,50,000 /year",1 year(s),1 year(s) experience,"Data Analysis, Facebook Ads, Google AdWords, Google Analytics, Google Tag Manager, Instagram Ads, LinkedIn Ads, Search Engine Marketing (SEM), YouTube Ads, Informal dress code, 5 days a week, Free snacks & beverages","Data Analysis, Facebook Ads, Google AdWords, Google Analytics, Google Tag Manager, Instagram Ads, LinkedIn Ads, Search Engine Marketing (SEM), YouTube Ads"
Social Media Marketing Specialist,VANTAGE KNOWLEDGE ACADEMY LIMITED,Mumbai,Starts Immediately,"₹ 2,00,000 - 5,00,000                                

                        ₹ 2,00,000 - 5,00,000 /year",0 year(s),0 year(s) experience,"Content Management, Content Writing, Digital Marketing, Social Media Marketing, Informal dress code, 5 days a week","Content Management, Content Writing, Digital Marketing, Social Media Marketing"
Digital Marketing Executive,Atfem KhetiGaadi Private Limited,Pune,Starts Immediately,"₹ 2,00,000                                

                        ₹ 2,00,000 /year",1 year(s),1 year(s) experience,"Creative Writing, Facebook Marketing, Search Engine Optimization (SEO), Social Media Marketing","Creative Writing, Facebook Marketing, Search Engine Optimization (SEO), Social Media Marketing"
Corporate Sales Associate,Atfem KhetiGaadi Private Limited,Pune,Starts Immediately,"₹ 2,00,000                                

                        ₹ 2,00,000 /year",1 year(s),1 year(s) experience,"English Proficiency (Written), MS-Office","English Proficiency (Written), MS-Office"
Business Operations Executive,Corizo Edutech Private Limited,Bangalore,Starts Immediately,"₹ 5,60,000 - 7,00,000                                

                        ₹ 5,60,000 - 7,00,000 /year",0 year(s),0 year(s) experience,"Effective Communication, Inside Sales, Marketing Campaigns, Recruitment, Informal dress code","Effective Communication, Inside Sales, Marketing Campaigns, Recruitment"
Digital Marketing Analyst,Bizgain,Pune,Starts Immediately,"₹ 4,00,000 - 4,00,001                                

                        ₹ 4,00,000 - 4,00,001 /year",0 year(s),0 year(s) experience,"Analytical Thinking, Attention to Detail, Effective Communication, Informal dress code, 5 days a week, Free snacks & beverages, Health Insurance","Analytical Thinking, Attention to Detail, Effective Communication"
Backend Developer,Easework AI,Work from home,Starts Immediately,"₹ 5,00,000                                

                        ₹ 5,00,000 /year",1 year(s),1 year(s) experience,"MongoDB, MySQL, Node.js, Python, REST API, 5 days a week","MongoDB, MySQL, Node.js, Python, REST API"
Corporate Sales Manager,Midex Vashi Marketing Private Limited,"Indore, Bhopal, Gwalior, Pithampur Industrial Area",Starts Immediately,"₹ 2,00,000 - 3,50,000                                

                        ₹ 2,00,000 - 3,50,000 /year",0 year(s),0 year(s) experience,"Business Analysis, Business Research, Client Relationship, Client Relationship Management (CRM), Effective Communication, English Proficiency (Written), MS-Excel, MS-Office, Negotiation, Health Insurance, Life Insurance","Business Analysis, Business Research, Client Relationship, Client Relationship Management (CRM), Effective Communication, English Proficiency (Written), MS-Excel, MS-Office, Negotiation"
Digital Marketing Executive,Exhibit Elevate Pvt Ltd,Noida,Starts Immediately,"₹ 2,05,000 - 2,60,000                                

                        ₹ 2,05,000 - 2,60,000 /year",1 year(s),1 year(s) experience,"Creative Writing, Digital Marketing, Email Marketing, English Proficiency (Spoken), English Proficiency (Written), Facebook Marketing, Instagram Marketing, Lead Generation, Search Engine Marketing (SEM), Search Engine Optimization (SEO), Social Media Marketing, Web Design, Informal dress code, 5 days a week, Free snacks & beverages","Creative Writing, Digital Marketing, Email Marketing, English Proficiency (Spoken), English Proficiency (Written), Facebook Marketing, Instagram Marketing, Lead Generation, Search Engine Marketing (SEM), Search Engine Optimization (SEO), Social Media Marketing, Web Design"
Videographer,Wrap In Fur,Noida                                            (Hybrid),Starts Immediately,"₹ 2,40,000 - 3,00,000                                

                        ₹ 2,40,000 - 3,00,000 /year",1 year(s),1 year(s) experience,"Adobe After Effects, Adobe Photoshop, Photography, Video Editing, Video Making, Informal dress code, 5 days a week","Adobe After Effects, Adobe Photoshop, Photography, Video Editing, Video Making"
Junior Full Stack Developer,Planys Technologies Private Limited,Chennai,Starts Immediately,"₹ 4,00,000 - 5,00,000                                

                        ₹ 4,00,000 - 5,00,000 /year",1 year(s),1 year(s) experience,"CSS, HTML, JavaScript, MongoDB, SQL, Web development, Informal dress code, Free snacks & beverages, Health Insurance, Life Insurance","CSS, HTML, JavaScript, MongoDB, SQL, Web development"
Mathematics Teacher For Defence Academy/ Entrance,Hustlr Staffing Services,Chennai,Starts Immediately,"₹ 4,20,000 - 4,80,000                                

                        ₹ 4,20,000 - 4,80,000 /year",1 year(s),1 year(s) experience,"Classroom Management, Curriculum Development, Effective Communication, Interpersonal skills, Subject Matter Expert (SME), Teaching","Classroom Management, Curriculum Development, Effective Communication, Interpersonal skills, Subject Matter Expert (SME), Teaching"
Field Sales Executive,Apex Actsoft Technologies Private Limited,Thane,Starts Immediately,"₹ 2,40,000 - 4,00,000                                

                        ₹ 2,40,000 - 4,00,000 /year",1 year(s),1 year(s) experience,"Client Relationship Management (CRM), Cold Calling, Conversion Rate Optimization, Effective Communication, English Proficiency (Spoken), Lead Generation, Negotiation, Health Insurance","Client Relationship Management (CRM), Cold Calling, Conversion Rate Optimization, Effective Communication, English Proficiency (Spoken), Lead Generation, Negotiation"
Economics Teacher For Defence Academy/ Entrance,Hustlr Staffing Services,Chennai,Starts Immediately,"₹ 4,20,000 - 4,80,000                                

                        ₹ 4,20,000 - 4,80,000 /year",1 year(s),1 year(s) experience,"Curriculum Development, Effective Communication, Interpersonal skills, Subject Matter Expert (SME), Teaching","Curriculum Development, Effective Communication, Interpersonal skills, Subject Matter Expert (SME), Teaching"
Academic Counsellor,CollegeDekho.com,Bangalore,Starts Immediately,"₹ 3,00,000 - 3,50,000                                

                        ₹ 3,00,000 - 3,50,000 /year",0 year(s),0 year(s) experience,"Counseling, Decision making, Effective Communication, Interpersonal skills, Problem Solving, Informal dress code","Counseling, Decision making, Effective Communication, Interpersonal skills, Problem Solving"
Junior Operations Executive,MECHMAK CNC INDIA PVT LTD,Coimbatore,Starts Immediately,"₹ 3,25,000 - 3,90,000                                

                        ₹ 3,25,000 - 3,90,000 /year",1 year(s),1 year(s) experience,"CNC, CNC Programming, Informal dress code, 5 days a week, Free snacks & beverages, Health Insurance","CNC, CNC Programming"
Science Teacher For Defence Academy/ Entrance,Hustlr Staffing Services,Chennai,Starts Immediately,"₹ 4,20,000 - 4,80,000                                

                        ₹ 4,20,000 - 4,80,000 /year",1 year(s),1 year(s) experience,"Classroom Management, Curriculum Development, Effective Communication, Interpersonal skills, Subject Matter Expert (SME), Teaching","Classroom Management, Curriculum Development, Effective Communication, Interpersonal skills, Subject Matter Expert (SME), Teaching"
Social Science Teacher For Defence Academy/ Entrance,Hustlr Staffing Services,Chennai,Starts Immediately,"₹ 4,20,000 - 4,80,000                                

                        ₹ 4,20,000 - 4,80,000 /year",1 year(s),1 year(s) experience,"Curriculum Development, Effective Communication, Interpersonal skills, Subject Matter Expert (SME), Teaching","Curriculum Development, Effective Communication, Interpersonal skills, Subject Matter Expert (SME), Teaching"
Business Development Executive,Zucol Group Of Companies,Pune,Starts Immediately,"₹ 2,50,000 - 3,00,000                                

                        ₹ 2,50,000 - 3,00,000 /year",0 year(s),0 year(s) experience,"English Proficiency (Spoken), English Proficiency (Written), Health Insurance","English Proficiency (Spoken), English Proficiency (Written)"
Customer Service Executive,Hir'd Services Private Limited,Navi Mumbai,Starts Immediately,"₹ 2,00,000 - 3,00,000                                

                        ₹ 2,00,000 - 3,00,000 /year",0 year(s),0 year(s) experience,"Effective Communication, English Proficiency (Spoken), English Proficiency (Written), 5 days a week, Cab/Transportation facility","Effective Communication, English Proficiency (Spoken), English Proficiency (Written)"
Python Developer,Error Technologies,Hyderabad,Starts Immediately,"₹ 2,00,000                                

                        ₹ 2,00,000 /year",1 year(s),1 year(s) experience,"Django, Python","Django, Python"
Customer Care Executive,Solidstack,Work from home,Starts Immediately,"₹ 4,00,000 - 7,00,000                                

                        ₹ 4,00,000 - 7,00,000 /year",0 year(s),0 year(s) experience,"MS-Excel, 5 days a week",MS-Excel
Human Resources (HR) Executive,JSTECHNO Solutions Private Limited,Ahmedabad,Starts Immediately,"₹ 2,00,000 - 4,00,000                                

                        ₹ 2,00,000 - 4,00,000 /year",0 year(s),0 year(s) experience,"Computer skills, English Proficiency (Written), MS-Office, Recruitment, 5 days a week","Computer skills, English Proficiency (Written), MS-Office, Recruitment"
Back End Executive,Solidstack,Work from home,Starts Immediately,"₹ 4,00,000 - 7,00,000                                

                        ₹ 4,00,000 - 7,00,000 /year",0 year(s),0 year(s) experience,"MS-Excel, MS-Word, 5 days a week","MS-Excel, MS-Word"
Computer Executive,Solidstack,Work from home,Starts Immediately,"₹ 4,00,000 - 7,00,000                                

                        ₹ 4,00,000 - 7,00,000 /year",0 year(s),0 year(s) experience,"MS-Excel, 5 days a week",MS-Excel
Associate Accountant,PayLess Outsourcing,Ghaziabad,Starts Immediately,"₹ 2,60,000 - 3,50,000                                

                        ₹ 2,60,000 - 3,50,000 /year",1 year(s),1 year(s) experience,"Accounting, Company Law, English Proficiency (Spoken), English Proficiency (Written), GST, Income Tax, MS-Excel, MS-Office, Taxation","Accounting, Company Law, English Proficiency (Spoken), English Proficiency (Written), GST, Income Tax, MS-Excel, MS-Office, Taxation"
Associate Back-End Operation Executive,Solidstack,Work from home,Starts Immediately,"₹ 4,00,000 - 7,00,000                                

                        ₹ 4,00,000 - 7,00,000 /year",0 year(s),0 year(s) experience,"MS-Excel, 5 days a week",MS-Excel
Computer Operator,Solidstack,Work from home,Starts Immediately,"₹ 4,00,000 - 9,00,000                                

                        ₹ 4,00,000 - 9,00,000 /year",0 year(s),0 year(s) experience,"MS-Excel, 5 days a week",MS-Excel
Office Assistant (Computer Operator),Solidstack,Work from home,Starts Immediately,"₹ 4,00,000 - 7,00,000                                

                        ₹ 4,00,000 - 7,00,000 /year",0 year(s),0 year(s) experience,"Client Interaction, 5 days a week",Client Interaction
Junior Social Media Marketing Manager,Boomerang,Jaipur,Starts Immediately,"₹ 2,05,000 - 3,10,000                                

                        ₹ 2,05,000 - 3,10,000 /year",0 year(s),0 year(s) experience,"English Proficiency (Spoken), English Proficiency (Written), Search Engine Marketing (SEM), Search Engine Optimization (SEO), Social Media Marketing","English Proficiency (Spoken), English Proficiency (Written), Search Engine Marketing (SEM), Search Engine Optimization (SEO), Social Media Marketing"
Business Development Manager,Digitize Matrix,Pune,Starts Immediately,"₹ 4,50,000 - 6,50,000                                

                        ₹ 4,50,000 - 6,50,000 /year",1 year(s),1 year(s) experience,"B2B Sales, Digital Marketing, Sales Management, Sales Strategy","B2B Sales, Digital Marketing, Sales Management, Sales Strategy"
Business Development Associate,RB FOODS,Ghaziabad,Starts Immediately,"₹ 4,00,000 - 5,99,999                                

                        ₹ 4,00,000 - 5,99,999 /year",1 year(s),1 year(s) experience,"Computer skills, English Proficiency (Spoken)","Computer skills, English Proficiency (Spoken)"
Graphic Designer,Brand Decore,Coimbatore,Starts Immediately,"₹ 2,00,000                                

                        ₹ 2,00,000 /year",1 year(s),1 year(s) experience,"Adobe Illustrator, Adobe Photoshop, CorelDRAW","Adobe Illustrator, Adobe Photoshop, CorelDRAW"
Operations Executive,Astrotalk,"Faridabad, Delhi, Gurgaon, Noida",Starts Immediately,"₹ 2,50,000 - 3,00,000                                

                        ₹ 2,50,000 - 3,00,000 /year",0 year(s),0 year(s) experience,"Effective Communication, English Proficiency (Spoken), English Proficiency (Written), Interpersonal skills, Informal dress code, Free snacks & beverages","Effective Communication, English Proficiency (Spoken), English Proficiency (Written), Interpersonal skills"
Tele-sales Executive,Zenith Leisure Holidays Limited,Noida,Starts Immediately,"₹ 2,00,000 - 2,40,000                                

                        ₹ 2,00,000 - 2,40,000 /year",0 year(s),0 year(s) experience,"Client Interaction, Sales, Health Insurance, Life Insurance","Client Interaction, Sales"
Telecaller,Saffron4health,Mumbai,Starts Immediately,"₹ 3,00,000 - 3,30,000                                

                        ₹ 3,00,000 - 3,30,000 /year",0 year(s),0 year(s) experience,"Collaboration, Coordination, Effective Communication, English Proficiency (Spoken), English Proficiency (Written), Hindi Proficiency (Spoken), MS-Excel, Team Management, Informal dress code","Collaboration, Coordination, Effective Communication, English Proficiency (Spoken), English Proficiency (Written), Hindi Proficiency (Spoken), MS-Excel, Team Management"
Executive For Director Bussiness Development,VDT Pipeline Integrity Solutions Private Limited,Noida,Starts Immediately,"₹ 3,00,000 - 5,00,000                                

                        ₹ 3,00,000 - 5,00,000 /year",1 year(s),1 year(s) experience,"Computer skills, English Proficiency (Written), 5 days a week, Free snacks & beverages, Health Insurance, Life Insurance","Computer skills, English Proficiency (Written)"
Full Stack Developer,Itax Easy Private Limited,Noida                                            (Hybrid),Starts Immediately,"₹ 2,01,000 - 3,70,000                                

                        ₹ 2,01,000 - 3,70,000 /year",1 year(s),1 year(s) experience,"Next.js, Node.js, Prisma ORM, React, TypeScript, 5 days a week","Next.js, Node.js, Prisma ORM, React, TypeScript"
Senior Accountant,Audio Wizard,Hyderabad,Starts Immediately,"₹ 3,00,000 - 4,20,000                                

                        ₹ 3,00,000 - 4,20,000 /year",1 year(s),1 year(s) experience,"Accounting, GST, MS-Excel, Tally, Taxation, Informal dress code, Health Insurance","Accounting, GST, MS-Excel, Tally, Taxation"
Digital Marketing Manager,Pat Iot Solutions,Hyderabad,Starts Immediately,"₹ 2,00,000 - 2,20,000                                

                        ₹ 2,00,000 - 2,20,000 /year",0 year(s),0 year(s) experience,"English Proficiency (Spoken), Social Media Marketing","English Proficiency (Spoken), Social Media Marketing"
Corporate Sales Executive,Just4You Surprise Planners LLP,Delhi,Starts Immediately,"₹ 3,00,000                                

                        ₹ 3,00,000 /year",1 year(s),1 year(s) experience,"Client Relationship Management (CRM), Collaboration, Effective Communication, Email Marketing, English Proficiency (Spoken), English Proficiency (Written), MS-Excel, MS-Office, Networking, Problem Solving, Time Management","Client Relationship Management (CRM), Collaboration, Effective Communication, Email Marketing, English Proficiency (Spoken), English Proficiency (Written), MS-Excel, MS-Office, Networking, Problem Solving, Time Management"
React Native (Expo) Developer,Knowmyslots,Work from home,Starts Immediately,"₹ 4,00,000 - 6,00,000                                

                        ₹ 4,00,000 - 6,00,000 /year",1 year(s),1 year(s) experience,"Firebase, JavaScript, React Native, 5 days a week","Firebase, JavaScript, React Native"
Content Acquisition Trainee,Ultra Media & Entertainment Private Limited,Mumbai,Starts Immediately,"₹ 2,00,000 - 2,50,000                                

                        ₹ 2,00,000 - 2,50,000 /year",0 year(s),0 year(s) experience,"Effective Communication, Interpersonal skills, Research and Analytics","Effective Communication, Interpersonal skills, Research and Analytics"
React Native (Expo) Developer,Knowmyslots,Work from home,Starts Immediately,"₹ 4,00,000 - 6,00,000                                

                        ₹ 4,00,000 - 6,00,000 /year",1 year(s),1 year(s) experience,"Firebase, JavaScript, React Native","Firebase, JavaScript, React Native"
English Teacher (Online),PlanetSpark,Work from home,Starts Immediately,"₹ 2,50,000 - 4,50,000                                

                        ₹ 2,50,000 - 4,50,000 /year",1 year(s),1 year(s) experience,"American English, British English, English Proficiency (Spoken), English Proficiency (Written), Online Teaching, Teaching","American English, British English, English Proficiency (Spoken), English Proficiency (Written), Online Teaching, Teaching"
English Faculty (Online),PlanetSpark,Work from home,Starts Immediately,"₹ 2,50,000 - 4,50,000                                

                        ₹ 2,50,000 - 4,50,000 /year",1 year(s),1 year(s) experience,"American English, British English, Effective Communication, English Proficiency (Spoken), English Proficiency (Written), Online Teaching, Teaching","American English, British English, Effective Communication, English Proficiency (Spoken), English Proficiency (Written), Online Teaching, Teaching"
Data Analytics Executive,WEMATTER PXT Limited,Mumbai,Starts Immediately,"₹ 2,00,000 - 4,00,000                                

                        ₹ 2,00,000 - 4,00,000 /year",0 year(s),0 year(s) experience,"MS-Excel, Python, SAS, SPSS, SQL, Informal dress code, Health Insurance","MS-Excel, Python, SAS, SPSS, SQL"
Talent Acquisition Executive,Recruitment Spot,Mumbai,Starts Immediately,"₹ 2,15,000 - 2,80,000                                

                        ₹ 2,15,000 - 2,80,000 /year",0 year(s),0 year(s) experience,"English Proficiency (Spoken), English Proficiency (Written), MS-Excel, Recruitment","English Proficiency (Spoken), English Proficiency (Written), MS-Excel, Recruitment"
Associate PHP Developer,Time Web Target Private Limited,Jaipur,Starts Immediately,"₹ 2,40,000 - 3,00,000                                

                        ₹ 2,40,000 - 3,00,000 /year",1 year(s),1 year(s) experience,"CodeIgniter, HTML, JavaScript, jQuery, PHP","CodeIgniter, HTML, JavaScript, jQuery, PHP"
Field Sales Executive,TechG Infotech,"Pune, Mumbai, Nagpur                                            (Hybrid)",Starts Immediately,"₹ 3,15,000 - 4,25,000                                

                        ₹ 3,15,000 - 4,25,000 /year",1 year(s),1 year(s) experience,"Channel Management, Field Sales, Sales","Channel Management, Field Sales, Sales"
Human Resources (HR) Manager,Sufi Structural Tubes Pvt. Ltd.,Pune                                            (Hybrid),Starts Immediately,"₹ 2,40,000 - 3,00,000                                

                        ₹ 2,40,000 - 3,00,000 /year",1 year(s),1 year(s) experience,"Auditing, Compensation management, English Proficiency (Spoken), English Proficiency (Written), Google Suite (G Suite), Human Resource Information System (HRIS), Human Resources, Labour laws, MS-Office, Onboarding, Payroll, Performance Management, Recruitment, Report Writing, Statutory compliances","Auditing, Compensation management, English Proficiency (Spoken), English Proficiency (Written), Google Suite (G Suite), Human Resource Information System (HRIS), Human Resources, Labour laws, MS-Office, Onboarding, Payroll, Performance Management, Recruitment, Report Writing, Statutory compliances"
