Job Title,Company Name,Location,Start Date,CTC (Annual),Experience,Apply By,Skills Required,Perks
Business Development (Sales) (Male),DigiVibrant Techsolutions Private Limited,N/A,Starts immediatelyImmediately,N/A,N/A,6 Months,"English Proficiency (Spoken), English Proficiency (Written), MS-Excel, Sales, Certificate, Letter of recommendation, Informal dress code, Free snacks & beverages, Job offer","English Proficiency (Spoken), English Proficiency (Written), MS-Excel, Sales"
Social Media Marketing,Nytarra Naturals,N/A,Starts immediatelyImmediately,N/A,N/A,3 Months,"Canva, Creative Writing, Email Marketing, English Proficiency (Spoken), English Proficiency (Written), Instagram Marketing, Photography, Social Media Marketing, Video Editing, Video Making, Certificate, Letter of recommendation, Informal dress code, Job offer","Canva, Creative Writing, Email Marketing, English Proficiency (Spoken), English Proficiency (Written), Instagram Marketing, Photography, Social Media Marketing, Video Editing, Video Making"
UI/UX Designer,Techdome Solutions Private Limited,N/A,Starts immediatelyImmediately,N/A,N/A,6 Months,"Adobe After Effects, Adobe Creative Suite, Adobe Illustrator, Adobe InDesign, Adobe Photoshop, Adobe XD, Figma, Prototyping, Sketch, UI & UX Design, User Interface (UI) Development, Wireframing, Certificate, Flexible work hours, Informal dress code, 5 days a week, Free snacks & beverages, Job offer","Adobe After Effects, Adobe Creative Suite, Adobe Illustrator, Adobe InDesign, Adobe Photoshop, Adobe XD, Figma, Prototyping, Sketch, UI & UX Design, User Interface (UI) Development, Wireframing"
Business Development (Sales),Golden Brick Radix Private Limited,N/A,Starts immediatelyImmediately,N/A,N/A,3 Months,"Effective Communication, Certificate, Letter of recommendation, Flexible work hours, Job offer",Effective Communication
Business Development (Sales),Rever Industries,N/A,Starts immediatelyImmediately,N/A,N/A,3 Months,"Effective Communication, English Proficiency (Spoken), English Proficiency (Written), Sales, Certificate, Letter of recommendation, Informal dress code, Free snacks & beverages, Job offer","Effective Communication, English Proficiency (Spoken), English Proficiency (Written), Sales"
Accounting,4AT Academy,N/A,Starts immediatelyImmediately,N/A,N/A,1 Month,"Accounting, Effective Communication, Certificate, Letter of recommendation, Flexible work hours, 5 days a week, Job offer","Accounting, Effective Communication"
React Native,Srchout Software Private Limited,N/A,Starts immediatelyImmediately,N/A,N/A,5 Months,"APIs, CSS, Effective Communication, English Proficiency (Spoken), HTML, JavaScript, React Native, TypeScript, Certificate, Letter of recommendation, Informal dress code, Job offer","APIs, CSS, Effective Communication, English Proficiency (Spoken), HTML, JavaScript, React Native, TypeScript"
Associate Software Development Engineer,Techdome Solutions Private Limited,N/A,Starts immediatelyImmediately,N/A,N/A,6 Months,"Agile Methodology, DevOps, HTML, Java, JavaScript, Jira, MERN, MongoDB, MySQL, Node.js, Python, React, Certificate, Flexible work hours, Informal dress code, 5 days a week, Free snacks & beverages, Job offer","Agile Methodology, DevOps, HTML, Java, JavaScript, Jira, MERN, MongoDB, MySQL, Node.js, Python, React"
Marketing (MBA),Eyeshealth Vision Plus Private Limited,N/A,Starts immediatelyImmediately,N/A,N/A,6 Months,"Effective Communication, English Proficiency (Written), Certificate, Letter of recommendation, Flexible work hours, Free snacks & beverages, Job offer","Effective Communication, English Proficiency (Written)"
Operations,Corporate Connections,N/A,Starts immediatelyImmediately,N/A,N/A,3 Months,"Artificial intelligence, English Proficiency (Spoken), English Proficiency (Written), Interpersonal skills, MS-Office, Organizational Development, Scheduling, Technical Support, Time Management, Certificate, Letter of recommendation, Job offer","Artificial intelligence, English Proficiency (Spoken), English Proficiency (Written), Interpersonal skills, MS-Office, Organizational Development, Scheduling, Technical Support, Time Management"
Client Servicing,Internshala,N/A,Starts immediatelyImmediately,N/A,N/A,6 Months,"Effective Communication, English Proficiency (Spoken), English Proficiency (Written), MS-Office, Certificate, Informal dress code, 5 days a week, Job offer","Effective Communication, English Proficiency (Spoken), English Proficiency (Written), MS-Office"
Graphic Design,Alphanumeric Ideas Private Limited,N/A,Starts immediatelyImmediately,N/A,N/A,3 Months,"Adobe Illustrator, Adobe Photoshop, CorelDRAW, Sketch, Certificate, Letter of recommendation, Informal dress code, Free snacks & beverages, Job offer","Adobe Illustrator, Adobe Photoshop, CorelDRAW, Sketch"
Data Entry,Aasha Realtors,N/A,Starts immediatelyImmediately,N/A,N/A,6 Months,"English Proficiency (Spoken), Hindi Proficiency (Spoken), MS-Excel, MS-Office, Certificate, Letter of recommendation, Job offer","English Proficiency (Spoken), Hindi Proficiency (Spoken), MS-Excel, MS-Office"
Web Development,El Codamics,N/A,Starts immediatelyImmediately,N/A,N/A,3 Months,"CSS, HTML, JavaScript, PHP, React, Certificate, Letter of recommendation, Flexible work hours, Informal dress code, 5 days a week, Free snacks & beverages, Job offer","CSS, HTML, JavaScript, PHP, React"
